symbol,timestamp,sentiment,sentiment_std,news_count,news_confidence,price_trend,signal,confidence,reasoning,price_range,volume_avg
TSLA,2025-07-03 15:00:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.15400000000000003,HOLD: Price movement too low (low_movement),$315.97-$317.67,222067.73333333334
TSLA,2025-07-03 14:30:00+00:00,0.0,0.0,2,0.64,NEUTRAL,HOLD,0.178,HOLD: Price movement too low (low_movement),$312.99-$316.11,259049.26666666666
TSLA,2025-07-03 14:00:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.15400000000000003,HOLD: Price movement too low (low_movement),$313.10-$317.13,287209.6666666667
TSLA,2025-07-03 12:00:00+00:00,0.43675047159194946,0.43675047159194946,2,0.4652998113632202,NEUTRAL,SHORT,0.4757601509094238,WEAK SHORT: Mild positive sentiment (0.44) with neutral | Volume: HIGH_VOLUME,$316.75-$318.12,33407.1
TSLA,2025-07-03 11:30:00+00:00,-0.9438009858131409,0.0,1,0.52,NEUTRAL,HOLD,0.5315203943252564,HOLD: Price movement too low (low_movement),$316.01-$317.66,5189.133333333333
TSLA,2025-07-03 10:30:00+00:00,-0.9747276902198792,0.0,1,0.52,NEUTRAL,HOLD,0.5938910760879517,HOLD: Price movement too low (low_movement) | Volume: HIGH_VOLUME,$316.96-$318.17,3087.5714285714284
TSLA,2025-07-03 09:30:00+00:00,-0.5333549380302429,0.0,1,0.52,NEUTRAL,HOLD,0.36734197521209716,HOLD: Price movement too low (low_movement),$318.55-$319.20,3282.8928571428573
TSLA,2025-07-02 20:00:00+00:00,0.823266327381134,0.0,1,0.52,NEUTRAL,SHORT,0.6413065309524536,WEAK SHORT: Mild positive sentiment (0.82) with neutral | Volume: HIGH_VOLUME,$315.47-$316.59,217449.63333333333
TSLA,2025-07-02 19:30:00+00:00,-0.7272394299507141,0.0,1,0.52,NEUTRAL,HOLD,0.49489577198028567,HOLD: Price movement too low (low_movement) | Volume: HIGH_VOLUME,$312.78-$315.65,288889.43333333335
TSLA,2025-07-02 18:30:00+00:00,0.5636957883834839,0.0,1,0.52,NEUTRAL,SHORT,0.4694783153533935,WEAK SHORT: Mild positive sentiment (0.56) with neutral,$315.18-$316.18,137090.73333333334
TSLA,2025-07-02 18:00:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.15400000000000003,HOLD: Price movement too low (low_movement),$314.33-$316.09,121804.5
TSLA,2025-07-02 17:30:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.15400000000000003,HOLD: Price movement too low (low_movement),$314.37-$315.49,105366.56666666667
TSLA,2025-07-02 17:00:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.15400000000000003,HOLD: Price movement too low (low_movement),$314.07-$315.69,153174.6
TSLA,2025-07-02 16:30:00+00:00,-0.9225108623504639,0.0,1,0.52,NEUTRAL,HOLD,0.5730043449401856,HOLD: Price movement too low (low_movement) | Volume: HIGH_VOLUME,$312.50-$314.47,119649.7
TSLA,2025-07-02 16:00:00+00:00,0.27325214942296344,0.3864368956615544,3,0.6054252417353783,NEUTRAL,HOLD,0.280385908116261,HOLD: Price movement too low (low_movement),$312.10-$313.99,153611.6
TSLA,2025-07-02 15:30:00+00:00,-0.9526633024215698,0.0,1,0.52,NEUTRAL,HOLD,0.535065320968628,HOLD: Price movement too low (low_movement),$312.97-$314.65,180314.56666666668
TSLA,2025-07-02 15:00:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.20400000000000001,HOLD: Price movement too low (low_movement) | Volume: HIGH_VOLUME,$310.58-$316.50,380391.26666666666
TSLA,2025-07-02 14:00:00+00:00,0.18819953997929892,0.7835846542288794,3,0.56,NEUTRAL,HOLD,0.2372798159917196,NEUTRAL: Very weak sentiment (0.19),$304.41-$314.39,554409.1
TSLA,2025-07-02 13:30:00+00:00,-0.643491268157959,0.4550975210496937,3,0.5779609915801225,NEUTRAL,HOLD,0.4229887055792081,HOLD: Price movement too low (low_movement),$305.74-$311.19,662394.6666666666
TSLA,2025-07-02 13:00:00+00:00,-0.4796817898750305,0.4796817898750305,2,0.4481272840499878,NEUTRAL,LONG,0.4214981727600097,WEAK LONG: Mild negative sentiment (-0.48) with neutral,$302.00-$321.81,262241.7
TSLA,2025-07-02 12:00:00+00:00,0.7356606721878052,0.0,1,0.52,NEUTRAL,SHORT,0.5382642688751221,WEAK SHORT: Mild positive sentiment (0.74) with neutral,$301.36-$302.95,37149.26666666667
TSLA,2025-07-02 11:30:00+00:00,-0.7138108164072037,0.41221009342814385,4,0.7151159626287424,NEUTRAL,HOLD,0.47854751908862997,HOLD: Price movement too low (low_movement),$301.88-$303.10,6914.866666666667
TSLA,2025-07-02 11:00:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.15400000000000003,HOLD: Price movement too low (low_movement) | Volume: LOW_VOLUME,$302.78-$304.00,10405.466666666667
TSLA,2025-07-02 10:30:00+00:00,0.0,0.0,2,0.64,NEUTRAL,HOLD,0.178,HOLD: Price movement too low (low_movement),$304.13-$304.95,4281.966666666666
TSLA,2025-07-02 09:30:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.15400000000000003,HOLD: Price movement too low (low_movement),$303.76-$304.35,3609.296296296296
TSLA,2025-07-02 09:00:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.20400000000000001,HOLD: Price movement too low (low_movement) | Volume: HIGH_VOLUME,$303.60-$304.12,3762.0
TSLA,2025-07-02 08:00:00+00:00,-0.1687724788983663,0.2386803286133966,3,0.6645278685546414,NEUTRAL,HOLD,0.2504145652702748,HOLD: Price movement too low (low_movement),$303.50-$304.29,8528.3
TSLA,2025-07-01 23:00:00+00:00,-0.649963915348053,0.0,1,0.52,NEUTRAL,HOLD,0.41398556613922116,HOLD: Price movement too low (low_movement) | Volume: LOW_VOLUME,$300.20-$300.97,3489.133333333333
TSLA,2025-07-01 22:00:00+00:00,-0.9726066589355469,0.0,1,0.52,NEUTRAL,HOLD,0.5930426635742188,HOLD: Price movement too low (low_movement) | Volume: HIGH_VOLUME,$299.89-$300.42,4946.566666666667
TSLA,2025-07-01 21:00:00+00:00,0.5766971111297607,0.0,1,0.52,NEUTRAL,SHORT,0.4746788444519043,WEAK SHORT: Mild positive sentiment (0.58) with neutral,$301.10-$301.57,5986.233333333334
TSLA,2025-07-01 20:00:00+00:00,-0.9229425489902496,0.028478175401687622,2,0.628608729839325,NEUTRAL,HOLD,0.5448987655639649,HOLD: Price movement too low (low_movement) | Volume: LOW_VOLUME,$299.38-$300.64,242083.33333333334
TSLA,2025-07-01 19:30:00+00:00,0.0,0.0,2,0.64,NEUTRAL,HOLD,0.228,NEUTRAL: Very weak sentiment (0.00) | Volume: HIGH_VOLUME,$300.71-$304.20,344376.63333333336
TSLA,2025-07-01 18:30:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.15400000000000003,HOLD: Price movement too low (low_movement),$301.15-$302.92,167299.56666666668
TSLA,2025-07-01 18:00:00+00:00,0.0,0.0,2,0.64,NEUTRAL,HOLD,0.228,HOLD: Price movement too low (low_movement) | Volume: HIGH_VOLUME,$299.31-$301.00,229133.83333333334
TSLA,2025-07-01 17:30:00+00:00,0.4065396587053935,0.301088319849331,3,0.6395646720602676,NEUTRAL,SHORT,0.4125287978942109,WEAK SHORT: Mild positive sentiment (0.41) with neutral | Volume: LOW_VOLUME,$298.71-$302.09,238975.0
TSLA,2025-07-01 17:00:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.20400000000000001,HOLD: Price movement too low (low_movement) | Volume: HIGH_VOLUME,$302.10-$304.14,149782.43333333332
TSLA,2025-07-01 16:00:00+00:00,-0.32964687049388885,0.3429330389350035,4,0.7428267844259986,NEUTRAL,LONG,0.48842410508275524,WEAK LONG: Mild negative sentiment (-0.33) with neutral | Volume: HIGH_VOLUME,$300.46-$304.12,230651.3
TSLA,2025-07-01 15:30:00+00:00,-0.957634449005127,0.002507448196411133,2,0.6389970207214355,NEUTRAL,HOLD,0.560853183746338,HOLD: Price movement too low (low_movement),$301.13-$303.00,177886.06666666668
TSLA,2025-07-01 14:30:00+00:00,-0.6472366452217102,0.0,1,0.52,NEUTRAL,HOLD,0.41289465808868414,HOLD: Price movement too low (low_movement),$297.29-$304.55,443351.73333333334
TSLA,2025-07-01 14:00:00+00:00,-0.9201029539108276,0.0,1,0.52,NEUTRAL,HOLD,0.572041181564331,HOLD: Price movement too low (low_movement) | Volume: HIGH_VOLUME,$302.41-$305.58,500663.13333333336
TSLA,2025-07-01 13:30:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.15400000000000003,HOLD: Price movement too low (low_movement),$293.92-$302.45,974534.8333333334
TSLA,2025-07-01 13:00:00+00:00,0.0,0.0,3,0.76,NEUTRAL,HOLD,0.202,HOLD: Price movement too low (low_movement),$298.19-$300.24,54282.4
TSLA,2025-07-01 12:30:00+00:00,-0.6621312946081161,0.3932195929128775,4,0.722712162834849,NEUTRAL,HOLD,0.4593949504102163,HOLD: Price movement too low (low_movement),$297.91-$299.94,53222.333333333336
TSLA,2025-07-01 12:00:00+00:00,-0.325017253557841,0.45964380798675375,3,0.5761424768052985,NEUTRAL,LONG,0.3852353967841961,WEAK LONG: Mild negative sentiment (-0.33) with neutral,$297.74-$300.11,181655.2
TSLA,2025-07-01 11:30:00+00:00,-0.4257252514362335,0.42878839263283264,4,0.708484642946867,NEUTRAL,LONG,0.45198702916386685,WEAK LONG: Mild negative sentiment (-0.43) with neutral,$299.70-$302.50,32800.76666666667
TSLA,2025-07-01 10:30:00+00:00,-0.4599640965461731,0.4599640965461731,2,0.45601436138153073,NEUTRAL,LONG,0.4151885108947754,WEAK LONG: Mild negative sentiment (-0.46) with neutral,$303.70-$305.24,10478.9
TSLA,2025-07-01 10:00:00+00:00,-0.8564267158508301,0.0,1,0.52,NEUTRAL,HOLD,0.496570686340332,HOLD: Price movement too low (low_movement),$302.50-$304.40,9834.733333333334
NVDA,2025-07-03 15:30:00+00:00,0.7760706543922424,0.0,1,0.52,NEUTRAL,SHORT,0.554428261756897,WEAK SHORT: Mild positive sentiment (0.78) with neutral,$159.34-$159.93,303357.0333333333
NVDA,2025-07-03 15:00:00+00:00,-0.12639018893241882,0.7383785545825958,2,0.44,NEUTRAL,HOLD,0.18855607557296755,HOLD: Price movement too low (low_movement),$159.27-$159.89,430442.5333333333
NVDA,2025-07-03 13:00:00+00:00,0.8645963668823242,0.0,1,0.52,NEUTRAL,SHORT,0.5898385467529297,WEAK SHORT: Mild positive sentiment (0.86) with neutral,$158.13-$158.51,49476.03333333333
NVDA,2025-07-03 12:00:00+00:00,0.8735009431838989,0.0,2,0.64,NEUTRAL,SHORT,0.6854003772735596,WEAK SHORT: Mild positive sentiment (0.87) with neutral | Volume: HIGH_VOLUME,$157.10-$157.47,32248.7
NVDA,2025-07-03 11:30:00+00:00,-0.47190049290657043,0.47190049290657043,2,0.45123980283737186,NEUTRAL,LONG,0.4190081577301025,WEAK LONG: Mild negative sentiment (-0.47) with neutral,$157.02-$157.24,5183.566666666667
NVDA,2025-07-03 10:30:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.15400000000000003,HOLD: Price movement too low (low_movement),$156.79-$157.08,3878.793103448276
NVDA,2025-07-03 10:00:00+00:00,0.0,0.0,3,0.76,NEUTRAL,HOLD,0.202,HOLD: Price movement too low (low_movement),$156.60-$156.86,3558.1
NVDA,2025-07-03 08:30:00+00:00,0.436935951312383,0.4394711917781751,6,0.8242115232887299,NEUTRAL,SHORT,0.5476166851826991,WEAK SHORT: Mild positive sentiment (0.44) with neutral | Volume: HIGH_VOLUME,$157.01-$157.26,3332.2
NVDA,2025-07-03 08:00:00+00:00,-0.4367240071296692,0.4367240071296692,2,0.4653103971481323,NEUTRAL,LONG,0.40775168228149417,WEAK LONG: Mild negative sentiment (-0.44) with neutral,$157.12-$157.59,6276.7
NVDA,2025-07-02 21:00:00+00:00,-0.5646692514419556,0.0,1,0.52,NEUTRAL,HOLD,0.37986770057678226,HOLD: Price movement too low (low_movement) | Volume: LOW_VOLUME,$156.96-$157.13,6817.793103448276
NVDA,2025-07-02 20:00:00+00:00,0.823266327381134,0.0,1,0.52,NEUTRAL,SHORT,0.5733065309524537,WEAK SHORT: Mild positive sentiment (0.82) with neutral,$156.94-$157.20,638999.3333333334
NVDA,2025-07-02 18:00:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.15400000000000003,HOLD: Price movement too low (low_movement),$156.78-$157.09,189518.43333333332
NVDA,2025-07-02 17:30:00+00:00,0.37254875898361206,0.37254875898361206,2,0.49098049640655517,NEUTRAL,SHORT,0.4552156028747558,WEAK SHORT: Mild positive sentiment (0.37) with neutral | Volume: HIGH_VOLUME,$156.96-$157.27,178243.16666666666
NVDA,2025-07-02 17:00:00+00:00,0.0,0.0,2,0.64,NEUTRAL,HOLD,0.178,HOLD: Price movement too low (low_movement),$157.16-$157.44,189815.4
NVDA,2025-07-02 16:00:00+00:00,0.8197564482688904,0.0,1,0.52,NEUTRAL,SHORT,0.5539025793075563,WEAK SHORT: Mild positive sentiment (0.82) with neutral | Volume: LOW_VOLUME,$156.56-$157.28,333289.06666666665
NVDA,2025-07-02 15:30:00+00:00,0.9027976393699646,0.0,1,0.52,NEUTRAL,SHORT,0.6051190557479859,WEAK SHORT: Mild positive sentiment (0.90) with neutral,$156.18-$156.70,284071.8333333333
NVDA,2025-07-02 15:00:00+00:00,-0.19003175497055053,0.38006350994110105,5,0.8479745960235596,NEUTRAL,HOLD,0.34560762119293215,HOLD: Price movement too low (low_movement) | Volume: HIGH_VOLUME,$156.37-$157.56,439553.86666666664
NVDA,2025-07-02 14:00:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.15400000000000003,HOLD: Price movement too low (low_movement),$154.57-$156.09,540390.7333333333
NVDA,2025-07-02 13:30:00+00:00,-0.5951417088508606,0.0,1,0.52,NEUTRAL,HOLD,0.39205668354034423,HOLD: Price movement too low (low_movement),$153.83-$155.15,799288.2333333333
NVDA,2025-07-02 13:00:00+00:00,0.7206071615219116,0.0,1,0.52,NEUTRAL,SHORT,0.5322428646087647,WEAK SHORT: Mild positive sentiment (0.72) with neutral,$151.64-$153.09,47200.23333333333
NVDA,2025-07-02 12:00:00+00:00,0.44062188267707825,0.44062188267707825,2,0.4637512469291687,NEUTRAL,SHORT,0.47699900245666504,WEAK SHORT: Mild positive sentiment (0.44) with neutral | Volume: HIGH_VOLUME,$151.54-$152.27,54472.1
NVDA,2025-07-02 11:30:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.15400000000000003,HOLD: Price movement too low (low_movement),$152.12-$152.48,6582.466666666666
NVDA,2025-07-02 11:00:00+00:00,-0.27805814146995544,0.27805814146995544,2,0.5287767434120179,NEUTRAL,HOLD,0.26697860527038575,HOLD: Price movement too low (low_movement),$152.25-$152.60,6878.0
NVDA,2025-07-02 10:30:00+00:00,0.0,0.0,2,0.64,NEUTRAL,HOLD,0.178,HOLD: Price movement too low (low_movement),$152.22-$152.91,9381.133333333333
NVDA,2025-07-02 09:00:00+00:00,0.0,0.0,3,0.76,NEUTRAL,HOLD,0.252,HOLD: Price movement too low (low_movement) | Volume: HIGH_VOLUME,$152.90-$153.24,3819.8333333333335
NVDA,2025-07-02 08:30:00+00:00,0.11002389192581177,0.22004778385162355,5,0.9119808864593506,NEUTRAL,HOLD,0.2764057340621948,HOLD: Price movement too low (low_movement) | Volume: LOW_VOLUME,$153.12-$153.29,2922.5
NVDA,2025-07-01 23:00:00+00:00,-0.649963915348053,0.0,1,0.52,NEUTRAL,HOLD,0.41398556613922116,HOLD: Price movement too low (low_movement),$152.95-$153.11,3652.310344827586
NVDA,2025-07-01 22:00:00+00:00,0.5163971781730652,0.0,1,0.52,NEUTRAL,SHORT,0.5185588712692261,WEAK SHORT: Mild positive sentiment (0.52) with neutral | Volume: HIGH_VOLUME,$152.90-$153.07,5568.833333333333
NVDA,2025-07-01 21:30:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.15400000000000003,HOLD: Price movement too low (low_movement),$152.87-$153.07,4980.633333333333
NVDA,2025-07-01 20:00:00+00:00,-0.31714024146397907,0.44850403065263744,3,0.580598387738945,NEUTRAL,LONG,0.45097577413338064,WEAK LONG: Mild negative sentiment (-0.32) with neutral | Volume: HIGH_VOLUME,$152.95-$153.28,691840.1333333333
NVDA,2025-07-01 17:30:00+00:00,0.5082731544971466,0.008124023675918579,2,0.6367503905296326,NEUTRAL,SHORT,0.5386593399047852,WEAK SHORT: Mild positive sentiment (0.51) with neutral | Volume: HIGH_VOLUME,$154.08-$154.76,257208.8
NVDA,2025-07-01 16:00:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.15400000000000003,HOLD: Price movement too low (low_movement),$152.47-$153.45,411813.8333333333
NVDA,2025-07-01 15:30:00+00:00,0.0,0.0,2,0.64,NEUTRAL,HOLD,0.178,HOLD: Price movement too low (low_movement),$152.35-$153.21,447646.06666666665
NVDA,2025-07-01 14:30:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.15400000000000003,HOLD: Price movement too low (low_movement),$152.97-$154.72,829173.4333333333
NVDA,2025-07-01 14:00:00+00:00,0.013255864381790161,0.9333588182926178,2,0.44,NEUTRAL,HOLD,0.14330234575271608,HOLD: Price movement too low (low_movement),$154.49-$156.28,605523.0666666667
NVDA,2025-07-01 13:30:00+00:00,0.0,0.0,2,0.64,NEUTRAL,HOLD,0.228,HOLD: Price movement too low (low_movement) | Volume: HIGH_VOLUME,$155.81-$156.91,647402.8333333334
NVDA,2025-07-01 13:00:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.15400000000000003,HOLD: Price movement too low (low_movement),$156.05-$156.54,28762.266666666666
NVDA,2025-07-01 12:30:00+00:00,0.0,0.0,1,0.52,NEUTRAL,HOLD,0.15400000000000003,HOLD: Price movement too low (low_movement),$155.95-$156.42,26765.8
NVDA,2025-07-01 11:30:00+00:00,0.06736299395561218,0.7336153090000153,2,0.44,NEUTRAL,HOLD,0.1649451975822449,HOLD: Price movement too low (low_movement),$156.54-$156.83,4565.896551724138
NVDA,2025-07-01 10:00:00+00:00,0.9423739910125732,0.0,1,0.52,NEUTRAL,SHORT,0.6889495964050293,WEAK SHORT: Mild positive sentiment (0.94) with neutral | Volume: HIGH_VOLUME,$156.78-$156.95,2586.9
